id_bruvoll_2023;id_source;house_size;site_name;region;arch_culture;data_source;site_name_ill;neighbourhood_logic;mean_orien;site_name_ill_short;Settlement
648;4;60,2;hambach_21;rheinland;lbk;schiesberg_2007;Hambach 21;FALSE;;Hambach 23;Hambach 23
649;8;46,4;hambach_21;rheinland;lbk;schiesberg_2007;Hambach 21;FALSE;;Hambach 24;Hambach 24
650;11;109;hambach_21;rheinland;lbk;schiesberg_2007;Hambach 21;FALSE;;Hambach 25;Hambach 25
638;1;117;hambach_8;rheinland;lbk;schiesberg_2007;Hambach 8;FALSE;;Hambach 8;Hambach 8
82;82;108,2016845;horny_ohaj_dolne_siatie;zitava_valley;lbk;muller_scheessel_et_al_2020;Horný Ohaj 'Dolne siatie';FALSE;19,91753476;Horný;Horny
83;83;105,4722462;horny_ohaj_dolne_siatie;zitava_valley;lbk;muller_scheessel_et_al_2020;Horný Ohaj 'Dolne siatie';FALSE;17,27741961;Horný;Horny
84;84;51,84579058;horny_ohaj_dolne_siatie;zitava_valley;lbk;muller_scheessel_et_al_2020;Horný Ohaj 'Dolne siatie';FALSE;11,68167146;Horný;Horny
85;85;48,07134926;horny_ohaj_dolne_siatie;zitava_valley;lbk;muller_scheessel_et_al_2020;Horný Ohaj 'Dolne siatie';FALSE;8,665763245;Horný;Horny
86;86;48,80453484;horny_ohaj_dolne_siatie;zitava_valley;lbk;muller_scheessel_et_al_2020;Horný Ohaj 'Dolne siatie';FALSE;4,03432545;Horný;Horny
87;87;188,0921992;horny_ohaj_dolne_siatie;zitava_valley;lbk;muller_scheessel_et_al_2020;Horný Ohaj 'Dolne siatie';FALSE;11,41659465;Horný;Horny
88;88;153,9104377;horny_ohaj_dolne_siatie;zitava_valley;lbk;muller_scheessel_et_al_2020;Horný Ohaj 'Dolne siatie';FALSE;8,264347111;Horný;Horny
89;89;59,65084802;horny_ohaj_dolne_siatie;zitava_valley;lbk;muller_scheessel_et_al_2020;Horný Ohaj 'Dolne siatie';FALSE;8,801111355;Horný;Horny
552;560;64,84917745;horny_ohaj_dolne_siatie;zitava_valley;lbk;muller_scheessel_et_al_2020;Horný Ohaj 'Dolne siatie';FALSE;14,00187124;Horný;Horny
553;561;93,69203159;horny_ohaj_dolne_siatie;zitava_valley;lbk;muller_scheessel_et_al_2020;Horný Ohaj 'Dolne siatie';FALSE;19,2120105;Horný;Horny
554;562;92,2703442;horny_ohaj_dolne_siatie;zitava_valley;lbk;muller_scheessel_et_al_2020;Horný Ohaj 'Dolne siatie';FALSE;11,30323943;Horný;Horny
676;1;128;koenigshoven_12;rheinland;lbk;schiesberg_2007;Königshoven 12;FALSE;;Königshoven 12;Königshoven 12
677;1;110;koenigshoven_13;rheinland;lbk;schiesberg_2007;Königshoven 13;FALSE;;Königshoven 13;Königshoven 13
678;1;136;koenigshoven_14;rheinland;lbk;schiesberg_2007;Königshoven 14;FALSE;;Königshoven 14;Königshoven 14
651;4;70;kuckhoven;rheinland;lbk;schiesberg_2007;Kückhoven;FALSE;;Kückhoven;Kückhoven
652;5;136;kuckhoven;rheinland;lbk;schiesberg_2007;Kückhoven;FALSE;;Kückhoven;Kückhoven
653;8;43,9;kuckhoven;rheinland;lbk;schiesberg_2007;Kückhoven;FALSE;;Kückhoven;Kückhoven
654;9;70,6;kuckhoven;rheinland;lbk;schiesberg_2007;Kückhoven;FALSE;;Kückhoven;Kückhoven
655;14;68,9;kuckhoven;rheinland;lbk;schiesberg_2007;Kückhoven;FALSE;;Kückhoven;Kückhoven
656;16;40,4;kuckhoven;rheinland;lbk;schiesberg_2007;Kückhoven;FALSE;;Kückhoven;Kückhoven
657;26;128;kuckhoven;rheinland;lbk;schiesberg_2007;Kückhoven;FALSE;;Kückhoven;Kückhoven
658;33;96,5;kuckhoven;rheinland;lbk;schiesberg_2007;Kückhoven;FALSE;;Kückhoven;Kückhoven
659;35;89,5;kuckhoven;rheinland;lbk;schiesberg_2007;Kückhoven;FALSE;;Kückhoven;Kückhoven
660;38;118;kuckhoven;rheinland;lbk;schiesberg_2007;Kückhoven;FALSE;;Kückhoven;Kückhoven
661;39;94,3;kuckhoven;rheinland;lbk;schiesberg_2007;Kückhoven;FALSE;;Kückhoven;Kückhoven
662;40;93,1;kuckhoven;rheinland;lbk;schiesberg_2007;Kückhoven;FALSE;;Kückhoven;Kückhoven
663;41;90,5;kuckhoven;rheinland;lbk;schiesberg_2007;Kückhoven;FALSE;;Kückhoven;Kückhoven
664;44;133;kuckhoven;rheinland;lbk;schiesberg_2007;Kückhoven;FALSE;;Kückhoven;Kückhoven
665;45;154;kuckhoven;rheinland;lbk;schiesberg_2007;Kückhoven;FALSE;;Kückhoven;Kückhoven
666;53;77,5;kuckhoven;rheinland;lbk;schiesberg_2007;Kückhoven;FALSE;;Kückhoven;Kückhoven
667;56;159;kuckhoven;rheinland;lbk;schiesberg_2007;Kückhoven;FALSE;;Kückhoven;Kückhoven
668;68;54;kuckhoven;rheinland;lbk;schiesberg_2007;Kückhoven;FALSE;;Kückhoven;Kückhoven
669;71;173;kuckhoven;rheinland;lbk;schiesberg_2007;Kückhoven;FALSE;;Kückhoven;Kückhoven
670;73;72,5;kuckhoven;rheinland;lbk;schiesberg_2007;Kückhoven;FALSE;;Kückhoven;Kückhoven
671;74;128;kuckhoven;rheinland;lbk;schiesberg_2007;Kückhoven;FALSE;;Kückhoven;Kückhoven
672;75;51,2;kuckhoven;rheinland;lbk;schiesberg_2007;Kückhoven;FALSE;;Kückhoven;Kückhoven
673;77;202;kuckhoven;rheinland;lbk;schiesberg_2007;Kückhoven;FALSE;;Kückhoven;Kückhoven
674;79;142;kuckhoven;rheinland;lbk;schiesberg_2007;Kückhoven;FALSE;;Kückhoven;Kückhoven
675;80;163;kuckhoven;rheinland;lbk;schiesberg_2007;Kückhoven;FALSE;;Kückhoven;Kückhoven
631;17;113;lamersdorf_2;rheinland;lbk;schiesberg_2007;Lamersdorf 2;FALSE;;Lamersdorf 2;Lamersdorf 2
632;1;184;lamersdorf_2;rheinland;lbk;schiesberg_2007;Lamersdorf 2;FALSE;;Lamersdorf 2;Lamersdorf 2
633;7;70,4;lamersdorf_2;rheinland;lbk;schiesberg_2007;Lamersdorf 2;FALSE;;Lamersdorf 2;Lamersdorf 2
634;8;84,2;lamersdorf_2;rheinland;lbk;schiesberg_2007;Lamersdorf 2;FALSE;;Lamersdorf 2;Lamersdorf 2
635;11;70,2;lamersdorf_2;rheinland;lbk;schiesberg_2007;Lamersdorf 2;FALSE;;Lamersdorf 2;Lamersdorf 2
636;14;65,9;lamersdorf_2;rheinland;lbk;schiesberg_2007;Lamersdorf 2;FALSE;;Lamersdorf 2;Lamersdorf 2
637;15;130;lamersdorf_2;rheinland;lbk;schiesberg_2007;Lamersdorf 2;FALSE;;Lamersdorf 2;Lamersdorf 2
595;3;177;langweiler_16;rheinland;lbk;schiesberg_2007;Langweiler 16;FALSE;;Langweiler 16;Langweiler 16
582;2;99,1;langweiler_2;rheinland;lbk;schiesberg_2007;Langweiler 2;FALSE;;Langweiler 2;Langweiler 2
583;3;125;langweiler_2;rheinland;lbk;schiesberg_2007;Langweiler 2;FALSE;;Langweiler 2;Langweiler 2
584;10;56,3;langweiler_2;rheinland;lbk;schiesberg_2007;Langweiler 2;FALSE;;Langweiler 2;Langweiler 2
585;11;192;langweiler_2;rheinland;lbk;schiesberg_2007;Langweiler 2;FALSE;;Langweiler 2;Langweiler 2
586;17;178;langweiler_2;rheinland;lbk;schiesberg_2007;Langweiler 2;FALSE;;Langweiler 2;Langweiler 2
587;20;253;langweiler_2;rheinland;lbk;schiesberg_2007;Langweiler 2;FALSE;;Langweiler 2;Langweiler 2
588;21;250;langweiler_2;rheinland;lbk;schiesberg_2007;Langweiler 2;FALSE;;Langweiler 2;Langweiler 2
598;3;204;langweiler_8;rheinland;lbk;schiesberg_2007;Langweiler 8;FALSE;;Langweiler 8;Langweiler 8
599;6;135;langweiler_8;rheinland;lbk;schiesberg_2007;Langweiler 8;FALSE;;Langweiler 8;Langweiler 8
600;8;171;langweiler_8;rheinland;lbk;schiesberg_2007;Langweiler 8;FALSE;;Langweiler 8;Langweiler 8
601;16;187;langweiler_8;rheinland;lbk;schiesberg_2007;Langweiler 8;FALSE;;Langweiler 8;Langweiler 8
602;21;82,8;langweiler_8;rheinland;lbk;schiesberg_2007;Langweiler 8;FALSE;;Langweiler 8;Langweiler 8
603;22;96,1;langweiler_8;rheinland;lbk;schiesberg_2007;Langweiler 8;FALSE;;Langweiler 8;Langweiler 8
604;23;132;langweiler_8;rheinland;lbk;schiesberg_2007;Langweiler 8;FALSE;;Langweiler 8;Langweiler 8
605;26;128;langweiler_8;rheinland;lbk;schiesberg_2007;Langweiler 8;FALSE;;Langweiler 8;Langweiler 8
606;29;66,1;langweiler_8;rheinland;lbk;schiesberg_2007;Langweiler 8;FALSE;;Langweiler 8;Langweiler 8
607;31;53,9;langweiler_8;rheinland;lbk;schiesberg_2007;Langweiler 8;FALSE;;Langweiler 8;Langweiler 8
608;32;77;langweiler_8;rheinland;lbk;schiesberg_2007;Langweiler 8;FALSE;;Langweiler 8;Langweiler 8
609;33;65,3;langweiler_8;rheinland;lbk;schiesberg_2007;Langweiler 8;FALSE;;Langweiler 8;Langweiler 8
610;37;207;langweiler_8;rheinland;lbk;schiesberg_2007;Langweiler 8;FALSE;;Langweiler 8;Langweiler 8
611;41;80,9;langweiler_8;rheinland;lbk;schiesberg_2007;Langweiler 8;FALSE;;Langweiler 8;Langweiler 8
612;43;142;langweiler_8;rheinland;lbk;schiesberg_2007;Langweiler 8;FALSE;;Langweiler 8;Langweiler 8
613;47;81,4;langweiler_8;rheinland;lbk;schiesberg_2007;Langweiler 8;FALSE;;Langweiler 8;Langweiler 8
614;50;185;langweiler_8;rheinland;lbk;schiesberg_2007;Langweiler 8;FALSE;;Langweiler 8;Langweiler 8
615;54;129;langweiler_8;rheinland;lbk;schiesberg_2007;Langweiler 8;FALSE;;Langweiler 8;Langweiler 8
616;55;128;langweiler_8;rheinland;lbk;schiesberg_2007;Langweiler 8;FALSE;;Langweiler 8;Langweiler 8
617;57;76,7;langweiler_8;rheinland;lbk;schiesberg_2007;Langweiler 8;FALSE;;Langweiler 8;Langweiler 8
618;59;185;langweiler_8;rheinland;lbk;schiesberg_2007;Langweiler 8;FALSE;;Langweiler 8;Langweiler 8
619;64;103;langweiler_8;rheinland;lbk;schiesberg_2007;Langweiler 8;FALSE;;Langweiler 8;Langweiler 8
620;65;141;langweiler_8;rheinland;lbk;schiesberg_2007;Langweiler 8;FALSE;;Langweiler 8;Langweiler 8
621;67;145;langweiler_8;rheinland;lbk;schiesberg_2007;Langweiler 8;FALSE;;Langweiler 8;Langweiler 8
622;76;60,8;langweiler_8;rheinland;lbk;schiesberg_2007;Langweiler 8;FALSE;;Langweiler 8;Langweiler 8
623;77;162;langweiler_8;rheinland;lbk;schiesberg_2007;Langweiler 8;FALSE;;Langweiler 8;Langweiler 8
624;99;38,6;langweiler_8;rheinland;lbk;schiesberg_2007;Langweiler 8;FALSE;;Langweiler 8;Langweiler 8
589;2;169;langweiler_9;rheinland;lbk;schiesberg_2007;Langweiler 9;FALSE;;Langweiler 9;Langweiler 9
590;5;161;langweiler_9;rheinland;lbk;schiesberg_2007;Langweiler 9;FALSE;;Langweiler 9;Langweiler 9
591;6;73,8;langweiler_9;rheinland;lbk;schiesberg_2007;Langweiler 9;FALSE;;Langweiler 9;Langweiler 9
